calendar_id,crop_id,crop_name,stage_number,stage_name,start_day,end_day,irrigation_guidance,fertilizer_guidance,pest_disease_risk_note
CAL0001,CROP001,Rice (Paddy),1,Land Preparation & Sowing,0,10,Pre-sowing irrigation if soil moisture is low.,Apply basal dose of fertilizer (as per soil test).,Check seed treatment / seed-borne disease risk.
CAL0002,CROP001,Rice (Paddy),2,Germination & Seedling,10,29,"Light, frequent irrigation to maintain moisture.",Avoid over-fertilizing at this stage.,Monitor for cutworms / damping-off.
CAL0003,CROP001,Rice (Paddy),3,Vegetative Growth,29,72,Irrigate at critical vegetative growth intervals.,First top-dressing of nitrogen.,"Watch for aphids, leaf miners, foliar disease."
CAL0004,CROP001,Rice (Paddy),4,Flowering & Reproductive,72,104,Do not let crop face water stress during flowering.,Second top-dressing; add potash if needed.,Highest pest/disease vulnerability window; scout weekly.
CAL0005,CROP001,Rice (Paddy),5,Maturity & Harvest,104,130,Reduce/stop irrigation to allow field drying before harvest.,No further fertilizer application.,Monitor for pre-harvest pest damage and lodging risk.
CAL0006,CROP002,Wheat,1,Land Preparation & Sowing,0,10,Pre-sowing irrigation if soil moisture is low.,Apply basal dose of fertilizer (as per soil test).,Check seed treatment / seed-borne disease risk.
CAL0007,CROP002,Wheat,2,Germination & Seedling,10,29,"Light, frequent irrigation to maintain moisture.",Avoid over-fertilizing at this stage.,Monitor for cutworms / damping-off.
CAL0008,CROP002,Wheat,3,Vegetative Growth,29,72,Irrigate at critical vegetative growth intervals.,First top-dressing of nitrogen.,"Watch for aphids, leaf miners, foliar disease."
CAL0009,CROP002,Wheat,4,Flowering & Reproductive,72,104,Do not let crop face water stress during flowering.,Second top-dressing; add potash if needed.,Highest pest/disease vulnerability window; scout weekly.
CAL0010,CROP002,Wheat,5,Maturity & Harvest,104,130,Reduce/stop irrigation to allow field drying before harvest.,No further fertilizer application.,Monitor for pre-harvest pest damage and lodging risk.
CAL0011,CROP003,Maize,1,Land Preparation & Sowing,0,8,Pre-sowing irrigation if soil moisture is low.,Apply basal dose of fertilizer (as per soil test).,Check seed treatment / seed-borne disease risk.
CAL0012,CROP003,Maize,2,Germination & Seedling,8,22,"Light, frequent irrigation to maintain moisture.",Avoid over-fertilizing at this stage.,Monitor for cutworms / damping-off.
CAL0013,CROP003,Maize,3,Vegetative Growth,22,55,Irrigate at critical vegetative growth intervals.,First top-dressing of nitrogen.,"Watch for aphids, leaf miners, foliar disease."
CAL0014,CROP003,Maize,4,Flowering & Reproductive,55,80,Do not let crop face water stress during flowering.,Second top-dressing; add potash if needed.,Highest pest/disease vulnerability window; scout weekly.
CAL0015,CROP003,Maize,5,Maturity & Harvest,80,100,Reduce/stop irrigation to allow field drying before harvest.,No further fertilizer application.,Monitor for pre-harvest pest damage and lodging risk.
CAL0016,CROP004,Sorghum (Jowar),1,Land Preparation & Sowing,0,9,Pre-sowing irrigation if soil moisture is low.,Apply basal dose of fertilizer (as per soil test).,Check seed treatment / seed-borne disease risk.
CAL0017,CROP004,Sorghum (Jowar),2,Germination & Seedling,9,24,"Light, frequent irrigation to maintain moisture.",Avoid over-fertilizing at this stage.,Monitor for cutworms / damping-off.
CAL0018,CROP004,Sorghum (Jowar),3,Vegetative Growth,24,61,Irrigate at critical vegetative growth intervals.,First top-dressing of nitrogen.,"Watch for aphids, leaf miners, foliar disease."
CAL0019,CROP004,Sorghum (Jowar),4,Flowering & Reproductive,61,88,Do not let crop face water stress during flowering.,Second top-dressing; add potash if needed.,Highest pest/disease vulnerability window; scout weekly.
CAL0020,CROP004,Sorghum (Jowar),5,Maturity & Harvest,88,110,Reduce/stop irrigation to allow field drying before harvest.,No further fertilizer application.,Monitor for pre-harvest pest damage and lodging risk.
CAL0021,CROP005,Pearl Millet (Bajra),1,Land Preparation & Sowing,0,7,Pre-sowing irrigation if soil moisture is low.,Apply basal dose of fertilizer (as per soil test).,Check seed treatment / seed-borne disease risk.
CAL0022,CROP005,Pearl Millet (Bajra),2,Germination & Seedling,7,20,"Light, frequent irrigation to maintain moisture.",Avoid over-fertilizing at this stage.,Monitor for cutworms / damping-off.
CAL0023,CROP005,Pearl Millet (Bajra),3,Vegetative Growth,20,50,Irrigate at critical vegetative growth intervals.,First top-dressing of nitrogen.,"Watch for aphids, leaf miners, foliar disease."
CAL0024,CROP005,Pearl Millet (Bajra),4,Flowering & Reproductive,50,72,Do not let crop face water stress during flowering.,Second top-dressing; add potash if needed.,Highest pest/disease vulnerability window; scout weekly.
CAL0025,CROP005,Pearl Millet (Bajra),5,Maturity & Harvest,72,90,Reduce/stop irrigation to allow field drying before harvest.,No further fertilizer application.,Monitor for pre-harvest pest damage and lodging risk.
CAL0026,CROP006,Barley,1,Land Preparation & Sowing,0,10,Pre-sowing irrigation if soil moisture is low.,Apply basal dose of fertilizer (as per soil test).,Check seed treatment / seed-borne disease risk.
CAL0027,CROP006,Barley,2,Germination & Seedling,10,26,"Light, frequent irrigation to maintain moisture.",Avoid over-fertilizing at this stage.,Monitor for cutworms / damping-off.
CAL0028,CROP006,Barley,3,Vegetative Growth,26,66,Irrigate at critical vegetative growth intervals.,First top-dressing of nitrogen.,"Watch for aphids, leaf miners, foliar disease."
CAL0029,CROP006,Barley,4,Flowering & Reproductive,66,96,Do not let crop face water stress during flowering.,Second top-dressing; add potash if needed.,Highest pest/disease vulnerability window; scout weekly.
CAL0030,CROP006,Barley,5,Maturity & Harvest,96,120,Reduce/stop irrigation to allow field drying before harvest.,No further fertilizer application.,Monitor for pre-harvest pest damage and lodging risk.
CAL0031,CROP007,Chickpea (Gram),1,Land Preparation & Sowing,0,8,Pre-sowing irrigation if soil moisture is low.,Apply basal dose of fertilizer (as per soil test).,Check seed treatment / seed-borne disease risk.
CAL0032,CROP007,Chickpea (Gram),2,Germination & Seedling,8,22,"Light, frequent irrigation to maintain moisture.",Avoid over-fertilizing at this stage.,Monitor for cutworms / damping-off.
CAL0033,CROP007,Chickpea (Gram),3,Vegetative Growth,22,55,Irrigate at critical vegetative growth intervals.,First top-dressing of nitrogen.,"Watch for aphids, leaf miners, foliar disease."
CAL0034,CROP007,Chickpea (Gram),4,Flowering & Reproductive,55,80,Do not let crop face water stress during flowering.,Second top-dressing; add potash if needed.,Highest pest/disease vulnerability window; scout weekly.
CAL0035,CROP007,Chickpea (Gram),5,Maturity & Harvest,80,100,Reduce/stop irrigation to allow field drying before harvest.,No further fertilizer application.,Monitor for pre-harvest pest damage and lodging risk.
CAL0036,CROP008,Pigeon Pea (Tur),1,Land Preparation & Sowing,0,13,Pre-sowing irrigation if soil moisture is low.,Apply basal dose of fertilizer (as per soil test).,Check seed treatment / seed-borne disease risk.
CAL0037,CROP008,Pigeon Pea (Tur),2,Germination & Seedling,13,35,"Light, frequent irrigation to maintain moisture.",Avoid over-fertilizing at this stage.,Monitor for cutworms / damping-off.
CAL0038,CROP008,Pigeon Pea (Tur),3,Vegetative Growth,35,88,Irrigate at critical vegetative growth intervals.,First top-dressing of nitrogen.,"Watch for aphids, leaf miners, foliar disease."
CAL0039,CROP008,Pigeon Pea (Tur),4,Flowering & Reproductive,88,128,Do not let crop face water stress during flowering.,Second top-dressing; add potash if needed.,Highest pest/disease vulnerability window; scout weekly.
CAL0040,CROP008,Pigeon Pea (Tur),5,Maturity & Harvest,128,160,Reduce/stop irrigation to allow field drying before harvest.,No further fertilizer application.,Monitor for pre-harvest pest damage and lodging risk.
CAL0041,CROP009,Green Gram (Moong),1,Land Preparation & Sowing,0,5,Pre-sowing irrigation if soil moisture is low.,Apply basal dose of fertilizer (as per soil test).,Check seed treatment / seed-borne disease risk.
CAL0042,CROP009,Green Gram (Moong),2,Germination & Seedling,5,14,"Light, frequent irrigation to maintain moisture.",Avoid over-fertilizing at this stage.,Monitor for cutworms / damping-off.
