notification_id,farmer_id,farm_id,notification_type,message,scheduled_date,priority,status
NOTIF00001,FARM_USR0001,FARM0001,Irrigation Reminder,Your Sunflower crop on FARM0001 is due for irrigation within 2 days based on current soil moisture and forecast.,2026-06-30,Medium,Sent
NOTIF00002,FARM_USR0026,FARM0028,Disease Risk Alert,Weather conditions favor fungal disease risk for Onion at FARM0028. Consider preventive spray.,2026-08-14,Low,Read
NOTIF00003,FARM_USR0017,FARM0019,Irrigation Reminder,Your Rice (Paddy) crop on FARM0019 is due for irrigation within 2 days based on current soil moisture and forecast.,2026-06-15,Low,Read
NOTIF00004,FARM_USR0040,FARM0045,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0045.,2026-06-04,Low,Sent
NOTIF00005,FARM_USR0005,FARM0006,Irrigation Reminder,Your Banana crop on FARM0006 is due for irrigation within 2 days based on current soil moisture and forecast.,2026-06-06,Low,Pending
NOTIF00006,FARM_USR0042,FARM0047,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0047.,2026-08-25,Low,Read
NOTIF00007,FARM_USR0044,FARM0050,Irrigation Reminder,Your Pigeon Pea (Tur) crop on FARM0050 is due for irrigation within 2 days based on current soil moisture and forecast.,2026-06-27,Low,Sent
NOTIF00008,FARM_USR0010,FARM0012,Price Alert,Modal price for Cotton at your nearest mandi has moved by more than 8% this week.,2026-06-13,Low,Read
NOTIF00009,FARM_USR0025,FARM0027,Price Alert,Modal price for Soybean at your nearest mandi has moved by more than 8% this week.,2026-07-14,Medium,Sent
NOTIF00010,FARM_USR0029,FARM0033,Price Alert,Modal price for Wheat at your nearest mandi has moved by more than 8% this week.,2026-07-18,High,Read
NOTIF00011,FARM_USR0054,FARM0065,Disease Risk Alert,Weather conditions favor fungal disease risk for Black Gram (Urad) at FARM0065. Consider preventive spray.,2026-08-19,Medium,Read
NOTIF00012,FARM_USR0004,FARM0004,Disease Risk Alert,Weather conditions favor fungal disease risk for Sugarcane at FARM0004. Consider preventive spray.,2026-06-13,Low,Read
NOTIF00013,FARM_USR0058,FARM0069,MSP Update,New MSP announced for Chickpea (Gram) for the upcoming season.,2026-06-12,Medium,Sent
NOTIF00014,FARM_USR0048,FARM0056,Irrigation Reminder,Your Sugarcane crop on FARM0056 is due for irrigation within 2 days based on current soil moisture and forecast.,2026-06-26,Low,Read
NOTIF00015,FARM_USR0006,FARM0007,Irrigation Reminder,Your Groundnut crop on FARM0007 is due for irrigation within 2 days based on current soil moisture and forecast.,2026-08-02,Low,Pending
NOTIF00016,FARM_USR0022,FARM0024,Disease Risk Alert,Weather conditions favor fungal disease risk for Potato at FARM0024. Consider preventive spray.,2026-07-15,High,Pending
NOTIF00017,FARM_USR0019,FARM0021,Price Alert,Modal price for Chickpea (Gram) at your nearest mandi has moved by more than 8% this week.,2026-08-29,Low,Sent
NOTIF00018,FARM_USR0009,FARM0011,Disease Risk Alert,Weather conditions favor fungal disease risk for Turmeric at FARM0011. Consider preventive spray.,2026-08-11,Medium,Pending
NOTIF00019,FARM_USR0041,FARM0046,Irrigation Reminder,Your Mustard crop on FARM0046 is due for irrigation within 2 days based on current soil moisture and forecast.,2026-07-21,High,Read
NOTIF00020,FARM_USR0048,FARM0055,Irrigation Reminder,Your Groundnut crop on FARM0055 is due for irrigation within 2 days based on current soil moisture and forecast.,2026-06-27,Low,Sent
NOTIF00021,FARM_USR0059,FARM0070,MSP Update,New MSP announced for Barley for the upcoming season.,2026-07-19,High,Pending
NOTIF00022,FARM_USR0050,FARM0059,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0059.,2026-08-16,Medium,Read
NOTIF00023,FARM_USR0005,FARM0005,Price Alert,Modal price for Potato at your nearest mandi has moved by more than 8% this week.,2026-07-12,Medium,Read
NOTIF00024,FARM_USR0049,FARM0058,MSP Update,New MSP announced for Banana for the upcoming season.,2026-07-12,Low,Sent
NOTIF00025,FARM_USR0029,FARM0033,MSP Update,New MSP announced for Pigeon Pea (Tur) for the upcoming season.,2026-06-17,Low,Pending
NOTIF00026,FARM_USR0028,FARM0031,MSP Update,New MSP announced for Chickpea (Gram) for the upcoming season.,2026-07-05,Low,Read
NOTIF00027,FARM_USR0018,FARM0020,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0020.,2026-07-12,Medium,Sent
NOTIF00028,FARM_USR0028,FARM0031,Price Alert,Modal price for Chickpea (Gram) at your nearest mandi has moved by more than 8% this week.,2026-07-04,High,Read
NOTIF00029,FARM_USR0012,FARM0014,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0014.,2026-06-14,Low,Sent
NOTIF00030,FARM_USR0017,FARM0019,Price Alert,Modal price for Banana at your nearest mandi has moved by more than 8% this week.,2026-07-09,Medium,Sent
NOTIF00031,FARM_USR0012,FARM0014,Price Alert,Modal price for Chickpea (Gram) at your nearest mandi has moved by more than 8% this week.,2026-07-20,Medium,Sent
NOTIF00032,FARM_USR0048,FARM0056,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0056.,2026-08-20,Low,Sent
NOTIF00033,FARM_USR0029,FARM0033,MSP Update,New MSP announced for Banana for the upcoming season.,2026-07-22,Low,Sent
NOTIF00034,FARM_USR0048,FARM0056,MSP Update,New MSP announced for Potato for the upcoming season.,2026-08-22,Medium,Sent
NOTIF00035,FARM_USR0027,FARM0030,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0030.,2026-06-16,Medium,Sent
NOTIF00036,FARM_USR0011,FARM0013,Disease Risk Alert,Weather conditions favor fungal disease risk for Pigeon Pea (Tur) at FARM0013. Consider preventive spray.,2026-07-22,Medium,Pending
NOTIF00037,FARM_USR0029,FARM0033,Disease Risk Alert,Weather conditions favor fungal disease risk for Cotton at FARM0033. Consider preventive spray.,2026-07-29,Low,Read
NOTIF00038,FARM_USR0056,FARM0067,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0067.,2026-07-12,Medium,Sent
NOTIF00039,FARM_USR0053,FARM0063,Irrigation Reminder,Your Wheat crop on FARM0063 is due for irrigation within 2 days based on current soil moisture and forecast.,2026-07-03,Medium,Sent
NOTIF00040,FARM_USR0024,FARM0026,MSP Update,New MSP announced for Groundnut for the upcoming season.,2026-06-13,High,Sent
NOTIF00041,FARM_USR0025,FARM0027,Disease Risk Alert,Weather conditions favor fungal disease risk for Sugarcane at FARM0027. Consider preventive spray.,2026-06-03,Medium,Read
NOTIF00042,FARM_USR0056,FARM0067,Price Alert,Modal price for Sunflower at your nearest mandi has moved by more than 8% this week.,2026-07-29,Low,Pending
NOTIF00043,FARM_USR0045,FARM0051,MSP Update,New MSP announced for Mango for the upcoming season.,2026-06-16,Medium,Pending
NOTIF00044,FARM_USR0007,FARM0008,Price Alert,Modal price for Green Gram (Moong) at your nearest mandi has moved by more than 8% this week.,2026-07-19,Low,Sent
NOTIF00045,FARM_USR0047,FARM0054,Disease Risk Alert,Weather conditions favor fungal disease risk for Tomato at FARM0054. Consider preventive spray.,2026-08-29,Medium,Pending
NOTIF00046,FARM_USR0012,FARM0014,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0014.,2026-07-22,High,Pending
NOTIF00047,FARM_USR0026,FARM0029,Disease Risk Alert,Weather conditions favor fungal disease risk for Sesame at FARM0029. Consider preventive spray.,2026-06-28,Low,Read
NOTIF00048,FARM_USR0008,FARM0009,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0009.,2026-08-22,Medium,Sent
NOTIF00049,FARM_USR0017,FARM0019,Price Alert,Modal price for Chili at your nearest mandi has moved by more than 8% this week.,2026-08-21,High,Read
NOTIF00050,FARM_USR0046,FARM0053,Disease Risk Alert,Weather conditions favor fungal disease risk for Black Gram (Urad) at FARM0053. Consider preventive spray.,2026-08-10,Medium,Read
NOTIF00051,FARM_USR0052,FARM0061,Price Alert,Modal price for Pigeon Pea (Tur) at your nearest mandi has moved by more than 8% this week.,2026-07-05,Medium,Pending
NOTIF00052,FARM_USR0048,FARM0055,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0055.,2026-06-01,High,Read
NOTIF00053,FARM_USR0041,FARM0046,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0046.,2026-07-09,Low,Sent
NOTIF00054,FARM_USR0009,FARM0011,Price Alert,Modal price for Pearl Millet (Bajra) at your nearest mandi has moved by more than 8% this week.,2026-07-09,High,Sent
NOTIF00055,FARM_USR0038,FARM0042,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0042.,2026-07-15,Medium,Sent
NOTIF00056,FARM_USR0002,FARM0002,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0002.,2026-08-23,Low,Pending
NOTIF00057,FARM_USR0017,FARM0019,Weather Alert,Heavy rainfall (>40mm) expected in your area over the next 48 hours near FARM0019.,2026-07-28,Low,Sent
