score_id,farm_id,crop_id,crop_name,weather_suitability_score,market_opportunity_score,msp_safety_score,risk_score,overall_score,explanation,generated_date,rank_within_farm
SCORE00001,FARM0058,CROP006,Barley,60.0,34.0,50.8,50.4,48.9,Weather fit 60.0/100 (forecast avg temp 30.9C vs ideal 22-2800C; 755mm forecast vs 350mm crop requirement); Market opportunity 34.0/100 (recent mandi trend); MSP safety 50.8/100; combined risk 50.4/100.,2026-08-29,5
SCORE00002,FARM0058,CROP020,Onion,72.9,48.2,38.1,58.5,56.4,Weather fit 72.9/100 (forecast avg temp 30.9C vs ideal 25-18000C; 755mm forecast vs 450mm crop requirement); Market opportunity 48.2/100 (recent mandi trend); MSP safety 38.1/100; combined risk 58.5/100.,2026-08-29,3
SCORE00003,FARM0058,CROP001,Rice (Paddy),64.2,46.0,69.4,59.8,59.1,Weather fit 64.2/100 (forecast avg temp 30.9C vs ideal 35-4200C; 755mm forecast vs 1250mm crop requirement); Market opportunity 46.0/100 (recent mandi trend); MSP safety 69.4/100; combined risk 59.8/100.,2026-08-29,2
SCORE00004,FARM0058,CROP017,Sugarcane,69.6,25.6,69.5,56.4,54.4,Weather fit 69.6/100 (forecast avg temp 30.9C vs ideal 32-80000C; 755mm forecast vs 2000mm crop requirement); Market opportunity 25.6/100 (recent mandi trend); MSP safety 69.5/100; combined risk 56.4/100.,2026-08-29,4
SCORE00005,FARM0058,CROP003,Maize,85.1,72.1,84.0,81.0,80.4,Weather fit 85.1/100 (forecast avg temp 30.9C vs ideal 27-3200C; 755mm forecast vs 550mm crop requirement); Market opportunity 72.1/100 (recent mandi trend); MSP safety 84.0/100; combined risk 81.0/100.,2026-08-29,1
SCORE00006,FARM0060,CROP002,Wheat,74.4,61.5,54.3,66.5,65.3,Weather fit 74.4/100 (forecast avg temp 26.6C vs ideal 25-3600C; 738mm forecast vs 450mm crop requirement); Market opportunity 61.5/100 (recent mandi trend); MSP safety 54.3/100; combined risk 66.5/100.,2026-08-29,2
SCORE00007,FARM0060,CROP007,Chickpea (Gram),60.0,69.7,84.3,67.8,68.9,Weather fit 60.0/100 (forecast avg temp 26.6C vs ideal 25-1200C; 738mm forecast vs 350mm crop requirement); Market opportunity 69.7/100 (recent mandi trend); MSP safety 84.3/100; combined risk 67.8/100.,2026-08-29,1
SCORE00008,FARM0060,CROP008,Pigeon Pea (Tur),78.0,33.3,75.3,64.0,62.0,Weather fit 78.0/100 (forecast avg temp 26.6C vs ideal 30-900C; 738mm forecast vs 650mm crop requirement); Market opportunity 33.3/100 (recent mandi trend); MSP safety 75.3/100; combined risk 64.0/100.,2026-08-29,3
SCORE00009,FARM0060,CROP020,Onion,74.4,26.0,22.9,49.6,45.9,Weather fit 74.4/100 (forecast avg temp 26.6C vs ideal 25-18000C; 738mm forecast vs 450mm crop requirement); Market opportunity 26.0/100 (recent mandi trend); MSP safety 22.9/100; combined risk 49.6/100.,2026-08-29,4
SCORE00010,FARM0060,CROP001,Rice (Paddy),43.1,40.8,56.3,45.0,45.3,Weather fit 43.1/100 (forecast avg temp 26.6C vs ideal 35-4200C; 738mm forecast vs 1250mm crop requirement); Market opportunity 40.8/100 (recent mandi trend); MSP safety 56.3/100; combined risk 45.0/100.,2026-08-29,5
