section_id,farm_id,section_number,area_hectares,soil_type,irrigation_type,assigned_crop_id,assigned_crop_name
SEC00001,FARM0001,1,1.04,Loam,Rainfed,CROP008,Pigeon Pea (Tur)
SEC00002,FARM0002,1,0.36,Red soil,Rainfed,,
SEC00003,FARM0003,1,0.59,Alluvial,Sprinkler,CROP013,Mustard
SEC00004,FARM0004,1,0.65,Red soil,Rainfed,CROP020,Onion
SEC00005,FARM0005,1,1.46,Clay loam,Flood,CROP002,Wheat
SEC00006,FARM0006,1,3.69,Clay loam,Flood,CROP023,Turmeric
SEC00007,FARM0007,1,0.61,Black soil,Sprinkler,,
SEC00008,FARM0007,2,0.33,Black soil,Sprinkler,CROP006,Barley
SEC00009,FARM0007,3,0.24,Black soil,Sprinkler,CROP017,Sugarcane
SEC00010,FARM0008,1,0.12,Sandy loam,Flood,CROP013,Mustard
SEC00011,FARM0008,2,0.27,Sandy loam,Flood,,
SEC00012,FARM0009,1,0.51,Loam,Sprinkler,CROP003,Maize
SEC00013,FARM0009,2,0.26,Loam,Sprinkler,CROP004,Sorghum (Jowar)
SEC00014,FARM0009,3,0.41,Loam,Sprinkler,CROP025,Mango
SEC00015,FARM0010,1,0.89,Clay loam,Flood,CROP010,Black Gram (Urad)
SEC00016,FARM0011,1,0.85,Clay loam,Flood,CROP016,Cotton
SEC00017,FARM0011,2,1.13,Clay loam,Flood,CROP018,Jute
SEC00018,FARM0012,1,0.78,Clay loam,Drip,CROP016,Cotton
SEC00019,FARM0012,2,0.43,Clay loam,Drip,CROP021,Tomato
SEC00020,FARM0012,3,0.96,Clay loam,Drip,,
SEC00021,FARM0013,1,6.57,Alluvial,Sprinkler,CROP003,Maize
SEC00022,FARM0014,1,0.79,Alluvial,Flood,CROP003,Maize
SEC00023,FARM0014,2,1.69,Alluvial,Flood,,
SEC00024,FARM0015,1,0.74,Red soil,Sprinkler,CROP020,Onion
SEC00025,FARM0016,1,1.75,Alluvial,Sprinkler,CROP023,Turmeric
SEC00026,FARM0017,1,3.66,Clay loam,Sprinkler,CROP001,Rice (Paddy)
SEC00027,FARM0018,1,0.72,Sandy loam,Rainfed,,
SEC00028,FARM0018,2,0.79,Sandy loam,Rainfed,,
SEC00029,FARM0019,1,4.49,Clay loam,Sprinkler,,
SEC00030,FARM0020,1,0.98,Clay loam,Drip,CROP015,Sesame
SEC00031,FARM0021,1,0.24,Black soil,Drip,CROP014,Sunflower
SEC00032,FARM0021,2,0.18,Black soil,Drip,CROP016,Cotton
SEC00033,FARM0021,3,0.15,Black soil,Drip,CROP024,Banana
SEC00034,FARM0022,1,1.53,Loam,Rainfed,CROP005,Pearl Millet (Bajra)
SEC00035,FARM0023,1,0.55,Red soil,Drip,CROP012,Groundnut
SEC00036,FARM0023,2,0.82,Red soil,Drip,,
SEC00037,FARM0024,1,0.45,Alluvial,Flood,CROP006,Barley
SEC00038,FARM0024,2,0.55,Alluvial,Flood,CROP003,Maize
SEC00039,FARM0025,1,0.94,Alluvial,Sprinkler,CROP006,Barley
SEC00040,FARM0025,2,1.17,Alluvial,Sprinkler,,
SEC00041,FARM0026,1,0.88,Red soil,Sprinkler,CROP003,Maize
SEC00042,FARM0026,2,0.22,Red soil,Sprinkler,CROP023,Turmeric
SEC00043,FARM0026,3,0.38,Red soil,Sprinkler,,
SEC00044,FARM0027,1,1.28,Sandy loam,Rainfed,CROP015,Sesame
SEC00045,FARM0028,1,1.17,Alluvial,Flood,CROP025,Mango
SEC00046,FARM0028,2,1.16,Alluvial,Flood,CROP004,Sorghum (Jowar)
SEC00047,FARM0029,1,0.34,Black soil,Flood,CROP009,Green Gram (Moong)
SEC00048,FARM0029,2,0.54,Black soil,Flood,CROP024,Banana
