farm_id,farmer_id,district_id,state,district,latitude,longitude,area_hectares,boundary_type,soil_type,water_source,irrigation_type,registration_date
FARM0001,FARM_USR0001,DIST003,Punjab,Bathinda,30.313443,74.834833,1.04,polygon,Loam,River Lift,Rainfed,2024-01-24
FARM0002,FARM_USR0002,DIST003,Punjab,Bathinda,30.283554,74.941248,0.36,pin,Red soil,Farm Pond,Rainfed,2023-04-10
FARM0003,FARM_USR0003,DIST019,Gujarat,Rajkot,22.194963,70.755261,0.59,pin,Alluvial,Rainfed,Sprinkler,2024-10-17
FARM0004,FARM_USR0004,DIST002,Punjab,Amritsar,31.53365,74.846771,0.65,pin,Red soil,Canal,Rainfed,2023-10-25
FARM0005,FARM_USR0005,DIST018,Maharashtra,Nagpur,21.130236,79.17067,1.46,pin,Clay loam,Borewell,Flood,2023-04-17
FARM0006,FARM_USR0005,DIST018,Maharashtra,Nagpur,21.133989,79.171664,3.69,pin,Clay loam,Farm Pond,Flood,2023-05-08
FARM0007,FARM_USR0006,DIST018,Maharashtra,Nagpur,21.261987,79.140676,1.18,polygon,Black soil,Canal,Sprinkler,2024-07-31
FARM0008,FARM_USR0007,DIST014,Madhya Pradesh,Bhopal,23.348928,77.477773,0.39,polygon,Sandy loam,River Lift,Flood,2024-05-21
FARM0009,FARM_USR0008,DIST026,Andhra Pradesh,Krishna,16.504944,80.769024,1.18,polygon,Loam,Rainfed,Sprinkler,2023-04-06
FARM0010,FARM_USR0008,DIST026,Andhra Pradesh,Krishna,16.704649,80.699711,0.89,pin,Clay loam,Farm Pond,Flood,2023-03-31
FARM0011,FARM_USR0009,DIST015,Madhya Pradesh,Ujjain,23.209256,75.853348,1.98,pin,Clay loam,Borewell,Flood,2023-05-05
FARM0012,FARM_USR0010,DIST014,Madhya Pradesh,Bhopal,23.112043,77.388677,2.17,polygon,Clay loam,Farm Pond,Drip,2025-03-13
FARM0013,FARM_USR0011,DIST012,West Bengal,Nadia,23.459941,88.42315,6.57,pin,Alluvial,River Lift,Sprinkler,2024-09-07
FARM0014,FARM_USR0012,DIST023,Karnataka,Belagavi,15.948236,74.630243,2.48,pin,Alluvial,Farm Pond,Flood,2023-03-19
FARM0015,FARM_USR0013,DIST013,Madhya Pradesh,Indore,22.608044,75.776829,0.74,polygon,Red soil,River Lift,Sprinkler,2023-02-19
FARM0016,FARM_USR0014,DIST016,Maharashtra,Nashik,19.914724,73.812259,1.75,pin,Alluvial,Farm Pond,Sprinkler,2025-03-21
FARM0017,FARM_USR0015,DIST028,Tamil Nadu,Coimbatore,10.917657,77.040469,3.66,polygon,Clay loam,River Lift,Sprinkler,2023-06-21
FARM0018,FARM_USR0016,DIST014,Madhya Pradesh,Bhopal,23.402442,77.344878,1.51,pin,Sandy loam,Borewell,Rainfed,2025-01-10
FARM0019,FARM_USR0017,DIST003,Punjab,Bathinda,30.11173,75.05851,4.49,pin,Clay loam,River Lift,Sprinkler,2023-08-26
FARM0020,FARM_USR0018,DIST009,Bihar,Patna,25.697704,85.038083,0.98,pin,Clay loam,River Lift,Drip,2023-06-01
FARM0021,FARM_USR0019,DIST028,Tamil Nadu,Coimbatore,11.066291,77.048151,0.57,pin,Black soil,Rainfed,Drip,2024-04-19
FARM0022,FARM_USR0020,DIST013,Madhya Pradesh,Indore,22.580259,75.79216,1.53,pin,Loam,Canal,Rainfed,2024-10-23
FARM0023,FARM_USR0021,DIST006,Uttar Pradesh,Meerut,29.076861,77.56983,1.37,pin,Red soil,Rainfed,Drip,2024-09-27
FARM0024,FARM_USR0022,DIST012,West Bengal,Nadia,23.530009,88.534616,1.0,polygon,Alluvial,Canal,Flood,2023-04-06
FARM0025,FARM_USR0023,DIST009,Bihar,Patna,25.484471,85.087007,2.11,polygon,Alluvial,River Lift,Sprinkler,2024-05-01
FARM0026,FARM_USR0024,DIST016,Maharashtra,Nashik,20.145267,73.712281,1.48,pin,Red soil,Borewell,Sprinkler,2023-06-06
FARM0027,FARM_USR0025,DIST023,Karnataka,Belagavi,15.702874,74.596892,1.28,pin,Sandy loam,Farm Pond,Rainfed,2023-08-02
FARM0028,FARM_USR0026,DIST018,Maharashtra,Nagpur,21.227233,79.19806,2.33,pin,Alluvial,Canal,Flood,2025-03-16
FARM0029,FARM_USR0026,DIST018,Maharashtra,Nagpur,21.178684,79.199988,0.88,pin,Black soil,Borewell,Flood,2025-03-13
FARM0030,FARM_USR0027,DIST017,Maharashtra,Pune,18.643614,73.715832,1.05,polygon,Black soil,Rainfed,Rainfed,2024-01-30
FARM0031,FARM_USR0028,DIST008,Uttar Pradesh,Varanasi,25.369368,82.845302,0.63,polygon,Clay loam,River Lift,Drip,2025-04-21
FARM0032,FARM_USR0028,DIST008,Uttar Pradesh,Varanasi,25.222021,82.980204,0.37,pin,Sandy loam,Rainfed,Sprinkler,2025-04-25
FARM0033,FARM_USR0029,DIST016,Maharashtra,Nashik,20.007998,73.734913,0.82,pin,Clay loam,Rainfed,Sprinkler,2023-02-26
FARM0034,FARM_USR0030,DIST020,Gujarat,Ahmedabad,22.930252,72.527753,1.91,pin,Clay loam,Canal,Drip,2025-04-28
FARM0035,FARM_USR0031,DIST004,Haryana,Karnal,29.649213,76.902386,1.11,polygon,Sandy loam,Canal,Rainfed,2023-07-31
FARM0036,FARM_USR0032,DIST012,West Bengal,Nadia,23.390801,88.541824,0.76,pin,Sandy loam,Borewell,Flood,2024-12-03
FARM0037,FARM_USR0033,DIST014,Madhya Pradesh,Bhopal,23.192795,77.413142,1.18,polygon,Loam,Borewell,Flood,2023-04-01
